city,date,temp_c,humidity,wind_kmph,precip_mm
Lagos,2022-06-01T00:00,25.4,92,2.9,0.0
Lagos,2022-06-01T01:00,25.7,90,2.9,0.0
Lagos,2022-06-01T02:00,25.8,90,5.0,0.0
Lagos,2022-06-01T03:00,25.3,93,5.3,0.0
Lagos,2022-06-01T04:00,25.0,94,3.7,0.0
Lagos,2022-06-01T05:00,24.9,94,2.7,0.0
Lagos,2022-06-01T06:00,24.9,95,1.8,0.0
Lagos,2022-06-01T07:00,25.0,95,3.5,0.0
Lagos,2022-06-01T08:00,25.9,88,3.4,0.0
Lagos,2022-06-01T09:00,26.9,84,2.9,0.0
Lagos,2022-06-01T10:00,28.7,75,9.7,0.1
Lagos,2022-06-01T11:00,29.2,71,12.6,0.0
Lagos,2022-06-01T12:00,29.3,70,12.1,0.0
Lagos,2022-06-01T13:00,29.6,71,9.7,0.0
Lagos,2022-06-01T14:00,30.0,70,12.3,0.1
Lagos,2022-06-01T15:00,29.6,70,12.6,0.0
Lagos,2022-06-01T16:00,29.2,72,12.4,0.0
Lagos,2022-06-01T17:00,28.7,74,12.8,0.0
Lagos,2022-06-01T18:00,28.2,76,13.1,0.0
Lagos,2022-06-01T19:00,27.4,81,13.3,0.0
Lagos,2022-06-01T20:00,26.9,84,10.7,0.0
Lagos,2022-06-01T21:00,26.7,85,9.3,0.0
Lagos,2022-06-01T22:00,26.7,85,9.7,0.0
Lagos,2022-06-01T23:00,26.5,86,9.8,0.0
Lagos,2022-06-02T00:00,26.4,87,9.5,0.0
Lagos,2022-06-02T01:00,26.4,86,7.4,0.0
Lagos,2022-06-02T02:00,26.4,87,7.4,0.0
Lagos,2022-06-02T03:00,26.1,89,7.2,0.0
Lagos,2022-06-02T04:00,25.8,90,5.5,0.0
Lagos,2022-06-02T05:00,25.4,91,4.0,0.0
Lagos,2022-06-02T06:00,25.0,93,4.6,0.0
Lagos,2022-06-02T07:00,25.5,90,4.3,0.0
Lagos,2022-06-02T08:00,26.9,86,4.0,0.0
Lagos,2022-06-02T09:00,28.3,79,5.4,0.0
Lagos,2022-06-02T10:00,29.5,72,11.1,0.1
Lagos,2022-06-02T11:00,29.9,69,14.0,0.1
Lagos,2022-06-02T12:00,30.4,67,15.0,0.2
Lagos,2022-06-02T13:00,30.6,66,15.9,0.1
Lagos,2022-06-02T14:00,30.8,65,17.1,0.1
Lagos,2022-06-02T15:00,30.5,67,19.6,0.1
Lagos,2022-06-02T16:00,30.0,67,17.3,0.2
Lagos,2022-06-02T17:00,29.3,71,18.5,0.1
Lagos,2022-06-02T18:00,28.1,78,17.3,0.1
Lagos,2022-06-02T19:00,27.6,82,13.0,0.0
Lagos,2022-06-02T20:00,27.0,85,11.6,0.0
Lagos,2022-06-02T21:00,26.9,86,11.5,0.0
Lagos,2022-06-02T22:00,26.8,87,9.8,0.0
Lagos,2022-06-02T23:00,26.6,88,10.7,0.0
Lagos,2022-06-03T00:00,26.6,87,9.5,0.0
Lagos,2022-06-03T01:00,26.8,87,10.2,0.0
Lagos,2022-06-03T02:00,26.9,86,9.4,0.0
Lagos,2022-06-03T03:00,26.7,87,7.4,0.0
Lagos,2022-06-03T04:00,26.7,87,8.7,0.0
Lagos,2022-06-03T05:00,26.6,88,6.2,0.0
Lagos,2022-06-03T06:00,24.5,93,10.9,3.5
Lagos,2022-06-03T07:00,24.5,93,8.5,1.2
Lagos,2022-06-03T08:00,25.3,88,3.1,0.0
Lagos,2022-06-03T09:00,26.2,83,8.1,0.0
Lagos,2022-06-03T10:00,26.6,83,5.4,0.0
Lagos,2022-06-03T11:00,27.6,80,8.8,0.1
Lagos,2022-06-03T12:00,28.2,77,8.2,0.2
Lagos,2022-06-03T13:00,25.1,91,18.4,0.2
Lagos,2022-06-03T14:00,25.8,86,15.8,0.6
Lagos,2022-06-03T15:00,26.8,83,15.2,1.1
Lagos,2022-06-03T16:00,27.4,79,11.7,0.4
Lagos,2022-06-03T17:00,26.7,84,15.7,0.0
